96,163,256,392
392,450,548,689
689,740,840,985
985,1036,1125,1270
1270,1328,1411,1559
1559,1617,1712,1857
1857,1911,2004,2136
2136,2198,2280,2434
2434,2500,2577,2736
2736,2787,2889,3024
3024,3080,3173,3312
3312,3370,3457,3604
3604,3659,3751,3925
3925,3967,4062,4239
4239,4295,4376,4563
4563,4620,4707,4873
5187,5244,5332,5476
5476,5532,5634,5795
5795,5840,5932,6101
6101,6155,6238,6391
6391,6450,6528,6694
6694,6753,6836,7023
7023,7079,7175,7334
7334,7376,7476,7638
7638,7695,7778,7957
7957,8015,8108,8242
8242,8303,8390,8534
8534,8590,8673,8841
8841,8900,8986,9146
9146,9204,9292,9428
9428,9484,9584,9740
9740,9796,9878,10035
10035,10095,10186,10326
10326,10382,10470,10622
10622,10675,10770,10930
10930,10985,11072,11223
11223,11282,11360,11518
11820,11879,11966,12131
12131,12182,12273,12419
12419,12479,12559,12733
12733,12792,12878,13029
13029,13085,13182,13343
13343,13389,13482,13647
13647,13705,13788,13932
13932,13989,14076,14220
14220,14278,14365,14541
14541,14579,14677,14828
14828,14885,14964,15129
15129,15190,15270,15442
